site	func	tu	dll	symbol	how
0x00401020	0x00401000	<=air.cpp	KERNEL32.dll	CreateMutexA	call
0x0040105a	0x00401050	<=air.cpp	KERNEL32.dll	WaitForSingleObject	call
0x004010a0	0x00401050	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x004010cb	0x004010c0	<=air.cpp	KERNEL32.dll	WaitForSingleObject	call
0x0040110e	0x004010c0	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x00401136	0x004010c0	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x0040115b	0x00401150	<=air.cpp	KERNEL32.dll	WaitForSingleObject	call
0x004011b0	0x00401150	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x004011f6	0x00401150	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x00401255	0x00401240	<=air.cpp	KERNEL32.dll	WaitForSingleObject	call
0x00401277	0x00401240	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x00401299	0x00401240	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x004012ae	0x00401240	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x004012cb	0x004012c0	<=air.cpp	KERNEL32.dll	WaitForSingleObject	call
0x00401311	0x004012c0	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x0040133e	0x00401330	<=air.cpp	KERNEL32.dll	WaitForSingleObject	call
0x00401396	0x00401330	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x004013bb	0x004013b0	<=air.cpp	KERNEL32.dll	WaitForSingleObject	call
0x00401404	0x004013b0	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x0040141a	0x00401410	<=air.cpp	KERNEL32.dll	WaitForSingleObject	call
0x004014b7	0x00401410	<=air.cpp	KERNEL32.dll	ReleaseMutex	call
0x0040155a	0x004014c0	<=air.cpp	KERNEL32.dll	GetTickCount	call
0x00401a1d	0x004014c0	<=air.cpp	KERNEL32.dll	GetTickCount	call
0x00401a26	0x004014c0	<=air.cpp	KERNEL32.dll	GetTickCount	call
