addr	func	tu	message
0x00401095	0x00401050	<=air.cpp	AddMsg: Impossible List Size %d
0x00401103	0x004010c0	<=air.cpp	RemHead: Impossible List Size %d
0x0040112b	0x004010c0	<=air.cpp	Empty List! l->first = %d listsize = %d
0x004013c9	0x004013b0	<=air.cpp	List:
0x004013e5	0x004013b0	<=air.cpp	(%d %d)
0x004013f9	0x004013b0	<=air.cpp	
0x0040146f	0x00401410	<=air.cpp	RemMsg: Impossible List Size %d
0x0040148f	0x00401410	<=air.cpp	RemMsg has set freelist to EMPTY!! l->numItems = %d
0x004014ac	0x00401410	<=air.cpp	Why is list %x empty?  List Size %d
0x0040158f	0x004014c0	<=air.cpp	 Got Pulse Ack for  seq %d
0x004015cf	0x004014c0	<=air.cpp	Flow Ack for Message not in sendqueue sequence %d from %x  %d mask %x
0x004015ff	0x004014c0	<=air.cpp	Remote %d is acking %d, I had thru %d
0x00401656	0x004014c0	<=air.cpp	??? PULSE seq %6d latency %d acks for %d msgs %d thru %d  nxtSeq = %d
0x004016a9	0x004014c0	<=air.cpp	PULSE Adding to freelist from sendque Buffer seq %d  elelment %x
0x0040173a	0x004014c0	<=air.cpp	Interrupt Level Can't find FlowQ for %x
0x00401775	0x004014c0	<=air.cpp	GOT NACK: seq %d thru %d from %d (%x)  nxtSeq = %d
0x004017b5	0x004014c0	<=air.cpp	Flow Nack Resend: Msg not found seq %d hehas %d
0x00401812	0x004014c0	<=air.cpp	DPlaySend Failure %x to %x size %d
0x00401849	0x004014c0	<=air.cpp	Resend: seq %d to %d (%x)  nxtSeq = %d
0x0040188d	0x004014c0	<=air.cpp	ADDING to Resend Queue seq %d to id %x  mask %x
0x004018ee	0x004014c0	<=air.cpp	Can't Find FlowQ for id %x  seq
0x00401933	0x004014c0	<=air.cpp	Can't Find my FlowQ for id %x
0x00401967	0x004014c0	<=air.cpp	Received seq %d  expected %d from %x, he has my seqthru  %d
0x00401989	0x004014c0	<=air.cpp	Ack for sequence %d had bad checksum %x
0x00401a01	0x004014c0	<=air.cpp	Starting Slave Session, from %x, Received seq %d, flow->gotseq=%d, flow->hehas=%d, myFlow->active=%d
0x00401a60	0x004014c0	<=air.cpp	First message received from player %x, Received seq %d
0x00401ac9	0x004014c0	<=air.cpp	Residual Message from %x: expected  %d received %d  from %x hehas %d
0x00401b12	0x004014c0	<=air.cpp	New Player joining flow he first got my seq %d hehas was %d
0x00401b40	0x004014c0	<=air.cpp	 No many acks in one packet	 %d thru %d
0x00401b93	0x004014c0	<=air.cpp	Flow Ack for Message not in sendqueue sequence %d from %x  %d mask %x
0x00401bc4	0x004014c0	<=air.cpp	Remote %x is acking %d, I had thru %d
0x00401c1e	0x004014c0	<=air.cpp	??? seq %6d from %x latency %d acks for %d msgs %d thru %d  nxtSeq = %d
0x00401cda	0x004014c0	<=air.cpp	Duplicate: expected %d received %d  from %x hehas %d
0x00401d57	0x004014c0	<=air.cpp	Flow Nacking ERROR too many missing from %d thru %d
0x00401dd1	0x004014c0	<=air.cpp	Flow Nacking %d thru %d  to %x at time %d I am good thru %d
0x00401e8d	0x004014c0	<=air.cpp	Unusually large time between messages %d seconds
0x00401f5f	0x004014c0	<=air.cpp	 ????? m = %x  freelistsize = %d
0x00401f81	0x004014c0	<=air.cpp	 ????? NOW m = %x freelistsize = %d
0x0040200e	0x004014c0	<=air.cpp	 Low-Level Comm Error No Recieve Buffers free = %d inuse = %d sendq = %d
0x00402018	0x004014c0	<=air.cpp	 Dumping incoming message on the floor
0x00402077	0x004014c0	<=air.cpp	 Receive thread got event 0
0x004020cf	0x004020a0	<=air.cpp	Setting Event 0
0x00402120	0x004020a0	<=air.cpp	Packet Thread Exited with return code %d
0x004022a9	0x004021a0	<=air.cpp	Error launching packet thread
0x0040235b	0x004022d0	<=air.cpp	Out of Send Buffers
0x004023d0	0x004022d0	<=air.cpp	Error Send can't find Flow for Player %x
0x0040243b	0x004022d0	<=air.cpp	SendGameMsg, first message to %x, hehas set to %d
0x00402480	0x004022d0	<=air.cpp	Error Send can't find My Flow for Player %x
0x00402535	0x004022d0	<=air.cpp	Latency Emulation is Out of Send Buffers
0x0040256c	0x004022d0	<=air.cpp	DPlaySend Failure %x to %x size %d
0x004025c2	0x004022d0	<=air.cpp	Message Too Big
0x0040263c	0x004022d0	<=air.cpp	DPLAY ERROR: Send too big
0x0040264f	0x004022d0	<=air.cpp	gpComm->Send Failure2 %x to %x size %d
0x00402735	0x00402720	<=air.cpp	Exit Game Posting WM_CLOSE from 3DONetwork
0x0040284a	0x004027f0	<=air.cpp	Creating Flow Queue for Player id %x
0x00402978	0x004027f0	<=air.cpp	Create FlowQ failed for ID %x
0x004029e8	0x004029b0	<=air.cpp	DestroyFlow: Flow queue for Player %x not found
0x00402a11	0x004029b0	<=air.cpp	About to Destroy FlowQ for id %x sendqueue Size = %d
0x00402a49	0x004029b0	<=air.cpp	DestroyFlow: Flow queue for me (%x) not found
0x00402aa2	0x004029b0	<=air.cpp	 Simulating Acks for  seq %d thru %d
0x00402af7	0x004029b0	<=air.cpp	Adding to freelist from sendque Buffer seq %d  elelment %x
0x00402b4a	0x004029b0	<=air.cpp	Finished Destroying FlowQ for id %x sendqueue Size = %d
0x00402b79	0x004029b0	<=air.cpp	FLOW UNPAUSE nfree = %d
0x00402bed	0x00402bd0	<=air.cpp	ERROR: GetPlayerMask: No Flowq for %X
0x00402c1d	0x00402c00	<=air.cpp	ERROR: GetReSendMask: No Flowq for %X
0x00402d0c	0x00402c30	<=air.cpp	 Nack Rec Array full for ID %x, %d
0x00402d6d	0x00402c30	<=air.cpp	Nacking %6d to %x at %d  >?  %d  ( %d ) Interval = %d Latency = %d count = %d nackinterval = %d
0x00402fca	0x00402f50	<=air.cpp	DPlaySend Failure %x to %x size %d
0x00402fdf	0x00402f50	<=air.cpp	DPLAY ERROR: Busy
0x00402ff8	0x00402f50	<=air.cpp	DPLAY ERROR: Invalid Object
0x00403011	0x00402f50	<=air.cpp	DPLAY ERROR: INVALID PARAMETERS
0x0040302a	0x00402f50	<=air.cpp	DPLAY ERROR: INVALID PLAYER
0x00403043	0x00402f50	<=air.cpp	DPLAY ERROR: Send too big
0x00403093	0x00403050	<=air.cpp	Entering ProcessResendQueue
0x00403164	0x00403050	<=air.cpp	RESENDING %d to %x size %d
0x004031c2	0x00403050	<=air.cpp	Exiting ProcessResendQueue
0x004031df	0x00403050	<=air.cpp	DPlaySend Failure %x to %x size %d
0x004031f4	0x00403050	<=air.cpp	DPLAY ERROR: Busy
0x00403211	0x00403050	<=air.cpp	DPLAY ERROR: Invalid Object
