addr	file	line	tag
0x00409885	air.cpp	651	0x06660010
0x0040bf1e	audio.cpp	576	0x01326413
0x0041ea35	event.cpp	217	0x06660006
0x0041ea53	event.cpp	219	0x00003e88
0x0041edeb	event.cpp	371	0x06660003
0x004225f8	event.cpp	3274	0x06660004
0x004259c3	gameproc.cpp	1320	0x06660666
0x00425a25	gameproc.cpp	1341	0x06660666
0x004268ff	?		
0x00428bcb	item.cpp	1192	0x06660007
0x0042db85	map.cpp	2310	0x06660009
0x004364c1	objscript.cpp	104	0x06660008
0x00437afb	pad.cpp	429	0x06660005
0x0043f16e	script.cpp	504	0x06660002
0x00457357	unit.cpp	322	0x06660668
